"","Age","WorkClass","Education","MaritalStatus","Occupation","RelationshipToFamily","Race","Sex","Hours-Per-Week","Label"
"7647",31," Private"," 11th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7648",29," Private"," Some-college"," Never-married"," Other-service"," Unmarried"," Black"," Female",40," <=50K"
"7649",53," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," >50K"
"7650",44," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," >50K"
"7651",43," Private"," 11th"," Married-civ-spouse"," Sales"," Husband"," White"," Male",60," <=50K"
"7652",40," Federal-gov"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7653",18," Private"," 11th"," Never-married"," Sales"," Own-child"," Black"," Female",10," <=50K"
"7655",38," Federal-gov"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," <=50K"
"7656",37," Private"," Assoc-acdm"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",25," <=50K"
"7657",40," Private"," Some-college"," Separated"," Sales"," Not-in-family"," Amer-Indian-Eskimo"," Female",40," <=50K"
"7658",57," Self-emp-inc"," HS-grad"," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",60," >50K"
"7660",32," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," Other"," Male",40," <=50K"
"7661",64," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"7662",18," Private"," 12th"," Never-married"," Sales"," Own-child"," White"," Female",20," <=50K"
"7663",40," Self-emp-not-inc"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",50," <=50K"
"7666",45," Private"," Assoc-voc"," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",40," <=50K"
"7667",45," Self-emp-not-inc"," Masters"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",15," <=50K"
"7668",27," Private"," 10th"," Never-married"," Other-service"," Not-in-family"," White"," Male",60," <=50K"
"7669",23," Private"," Some-college"," Married-spouse-absent"," Handlers-cleaners"," Unmarried"," White"," Male",40," <=50K"
"7670",58," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," Asian-Pac-Islander"," Male",30," <=50K"
"7671",35," Private"," HS-grad"," Divorced"," Tech-support"," Unmarried"," White"," Female",75," <=50K"
"7672",47," Private"," Masters"," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",40," >50K"
"7673",33," Private"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," <=50K"
"7676",24," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",56," <=50K"
"7678",44," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," White"," Female",24," <=50K"
"7681",23," Private"," Assoc-voc"," Separated"," Exec-managerial"," Own-child"," White"," Female",40," <=50K"
"7683",31," Private"," Some-college"," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",35," <=50K"
"7686",27," Private"," HS-grad"," Never-married"," Transport-moving"," Own-child"," White"," Male",40," <=50K"
"7687",35," Local-gov"," HS-grad"," Never-married"," Adm-clerical"," Unmarried"," Amer-Indian-Eskimo"," Male",55," <=50K"
"7688",27," Private"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",40," <=50K"
"7690",33," Self-emp-not-inc"," HS-grad"," Never-married"," Farming-fishing"," Own-child"," White"," Male",70," <=50K"
"7692",29," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," <=50K"
"7693",26," Local-gov"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"7697",40," Private"," Some-college"," Separated"," Craft-repair"," Unmarried"," White"," Male",47," >50K"
"7698",53," Private"," 7th-8th"," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",40," <=50K"
"7699",58," Federal-gov"," Some-college"," Married-civ-spouse"," Tech-support"," Husband"," Asian-Pac-Islander"," Male",40," >50K"
"7702",57," Private"," Masters"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",60," >50K"
"7703",69," State-gov"," HS-grad"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",40," <=50K"
"7704",20," Private"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Female",12," <=50K"
"7705",56," Private"," HS-grad"," Widowed"," Sales"," Unmarried"," White"," Female",25," <=50K"
"7706",49," Private"," 5th-6th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7708",70," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",37," <=50K"
"7710",37," Private"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," >50K"
"7713",41," Private"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"7714",28," Private"," HS-grad"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"7716",24," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",40," <=50K"
"7717",58," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",55," >50K"
"7720",69," Private"," Some-college"," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",24," <=50K"
"7721",84," Private"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",66," <=50K"
"7723",19," Private"," 12th"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",20," <=50K"
"7724",24," Private"," Some-college"," Never-married"," Prof-specialty"," Not-in-family"," Black"," Male",40," <=50K"
"7726",53," Private"," HS-grad"," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Male",50," <=50K"
"7727",58," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",45," <=50K"
"7728",22," Private"," Some-college"," Never-married"," Handlers-cleaners"," Other-relative"," White"," Male",24," <=50K"
"7729",36," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",52," <=50K"
"7731",43," Private"," 1st-4th"," Widowed"," Prof-specialty"," Unmarried"," White"," Female",21," <=50K"
"7732",37," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",24," <=50K"
"7735",21," Private"," Some-college"," Never-married"," Other-service"," Own-child"," White"," Male",30," <=50K"
"7736",49," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",60," <=50K"
"7737",35," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Other-relative"," Black"," Male",40," <=50K"
"7738",49," Self-emp-not-inc"," Some-college"," Widowed"," Craft-repair"," Unmarried"," White"," Female",30," <=50K"
"7739",28," Private"," Some-college"," Never-married"," Other-service"," Not-in-family"," Black"," Male",40," <=50K"
"7740",51," Private"," 1st-4th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7742",19," Private"," 7th-8th"," Never-married"," Other-service"," Not-in-family"," White"," Male",60," >50K"
"7743",56," Private"," 9th"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," <=50K"
"7745",22," Private"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Female",37," <=50K"
"7746",33," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",56," >50K"
"7748",22," Private"," Some-college"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",50," <=50K"
"7749",68," Private"," Some-college"," Divorced"," Priv-house-serv"," Other-relative"," White"," Female",30," <=50K"
"7750",56," Local-gov"," Bachelors"," Divorced"," Exec-managerial"," Unmarried"," White"," Female",40," <=50K"
"7752",69," Self-emp-not-inc"," 9th"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," <=50K"
"7753",41," Private"," Bachelors"," Never-married"," Tech-support"," Not-in-family"," White"," Male",40," <=50K"
"7757",31," Private"," 11th"," Divorced"," Handlers-cleaners"," Other-relative"," Black"," Male",40," <=50K"
"7760",41," Private"," HS-grad"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",52," <=50K"
"7761",20," Federal-gov"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Female",40," <=50K"
"7762",23," Private"," Assoc-acdm"," Never-married"," Sales"," Own-child"," White"," Male",30," <=50K"
"7765",42," Private"," 9th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7767",43," Private"," HS-grad"," Divorced"," Adm-clerical"," Other-relative"," White"," Female",40," <=50K"
"7768",47," Private"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",55," <=50K"
"7769",53," Local-gov"," 5th-6th"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," <=50K"
"7770",28," Private"," 10th"," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",40," <=50K"
"7771",28," State-gov"," Some-college"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",40," <=50K"
"7772",44," Private"," Some-college"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",45," <=50K"
"7773",58," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"7775",26," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Unmarried"," White"," Female",40," <=50K"
"7776",36," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",8," <=50K"
"7777",27," Private"," HS-grad"," Divorced"," Other-service"," Not-in-family"," White"," Female",40," <=50K"
"7778",39," Private"," Doctorate"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",45," >50K"
"7779",25," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," <=50K"
"7780",17," Private"," 11th"," Never-married"," Other-service"," Own-child"," White"," Female",15," <=50K"
"7781",39," Private"," Bachelors"," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",50," <=50K"
"7782",52," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"7783",24," Private"," Bachelors"," Never-married"," Sales"," Not-in-family"," White"," Female",50," <=50K"
"7784",26," Self-emp-not-inc"," Assoc-voc"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",55," <=50K"
"7787",49," Local-gov"," Masters"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",40," >50K"
"7789",40," Private"," 11th"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",40," <=50K"
"7791",33," Private"," HS-grad"," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",40," <=50K"
"7792",19," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Other-relative"," White"," Male",20," <=50K"
"7793",37," Private"," Assoc-voc"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," <=50K"
"7794",21," State-gov"," Some-college"," Never-married"," Tech-support"," Own-child"," White"," Female",20," <=50K"
"7795",33," Private"," Some-college"," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",36," <=50K"
"7796",28," Private"," Assoc-acdm"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"7797",48," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7798",43," Private"," Bachelors"," Separated"," Tech-support"," Not-in-family"," White"," Male",40," <=50K"
"7799",32," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"7801",47," Self-emp-not-inc"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",40," <=50K"
"7803",26," Private"," Some-college"," Separated"," Sales"," Other-relative"," Black"," Male",30," <=50K"
"7804",55," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",60," <=50K"
"7807",39," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," >50K"
"7809",38," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," Asian-Pac-Islander"," Male",40," <=50K"
"7810",53," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",85," <=50K"
"7812",42," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," >50K"
"7814",47," Private"," 11th"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",58," <=50K"
"7815",26," Private"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",50," <=50K"
"7817",59," Private"," Some-college"," Divorced"," Other-service"," Not-in-family"," White"," Male",40," <=50K"
"7820",58," Private"," HS-grad"," Divorced"," Sales"," Not-in-family"," White"," Male",36," <=50K"
"7822",21," Private"," Some-college"," Never-married"," Craft-repair"," Own-child"," White"," Female",40," <=50K"
"7824",33," Private"," Assoc-acdm"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"7826",70," Private"," Some-college"," Widowed"," Exec-managerial"," Not-in-family"," White"," Female",12," <=50K"
"7828",29," Self-emp-not-inc"," Some-college"," Divorced"," Craft-repair"," Not-in-family"," White"," Male",50," <=50K"
"7829",46," Private"," Masters"," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",44," <=50K"
"7830",35," Federal-gov"," Some-college"," Divorced"," Exec-managerial"," Unmarried"," Asian-Pac-Islander"," Female",40," <=50K"
"7833",43," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",43," >50K"
"7837",26," Private"," 10th"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"7842",28," Private"," HS-grad"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",50," <=50K"
"7843",68," Self-emp-not-inc"," Assoc-voc"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," <=50K"
"7845",35," Private"," Masters"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"7846",36," Private"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",40," <=50K"
"7847",33," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",35," <=50K"
"7848",22," Private"," Some-college"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",30," <=50K"
"7850",24," Private"," Some-college"," Never-married"," Other-service"," Not-in-family"," White"," Female",40," <=50K"
"7854",26," Self-emp-not-inc"," Some-college"," Never-married"," Prof-specialty"," Own-child"," White"," Female",35," <=50K"
"7855",25," Self-emp-not-inc"," Some-college"," Never-married"," Farming-fishing"," Own-child"," White"," Female",50," <=50K"
"7856",53," State-gov"," Some-college"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",50," <=50K"
"7857",28," Local-gov"," Assoc-acdm"," Widowed"," Prof-specialty"," Unmarried"," White"," Male",40," <=50K"
"7858",30," Local-gov"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"7859",38," Self-emp-not-inc"," 11th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7860",37," Local-gov"," Some-college"," Divorced"," Protective-serv"," Unmarried"," White"," Male",48," <=50K"
"7861",30," Private"," Masters"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",38," <=50K"
"7864",31," Private"," Some-college"," Divorced"," Craft-repair"," Not-in-family"," White"," Male",80," <=50K"
"7866",59," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",60," <=50K"
"7869",49," State-gov"," Some-college"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," >50K"
"7872",28," Private"," 7th-8th"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"7878",24," Private"," Some-college"," Never-married"," Exec-managerial"," Own-child"," White"," Male",40," <=50K"
"7881",52," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," <=50K"
"7883",28," Private"," Assoc-acdm"," Never-married"," Other-service"," Not-in-family"," Other"," Male",40," <=50K"
"7884",47," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7885",43," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7886",25," Private"," HS-grad"," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",45," <=50K"
"7887",43," Private"," Some-college"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",60," >50K"
"7889",59," Private"," Masters"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",60," <=50K"
"7890",29," Private"," Assoc-acdm"," Divorced"," Prof-specialty"," Unmarried"," White"," Female",35," <=50K"
"7891",30," Private"," 9th"," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",40," <=50K"
"7892",24," Private"," Some-college"," Married-civ-spouse"," Machine-op-inspct"," Wife"," Other"," Female",40," <=50K"
"7895",26," Private"," Preschool"," Married-spouse-absent"," Machine-op-inspct"," Not-in-family"," White"," Male",40," <=50K"
"7898",30," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",40," <=50K"
"7899",33," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," <=50K"
"7900",46," Private"," Some-college"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",58," <=50K"
"7902",18," Private"," 11th"," Never-married"," Other-service"," Own-child"," White"," Male",40," <=50K"
"7903",35," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",8," >50K"
"7904",22," Private"," HS-grad"," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," <=50K"
"7905",50," Self-emp-inc"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," Black"," Male",60," <=50K"
"7908",22," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Male",40," <=50K"
"7909",33," Private"," HS-grad"," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",40," <=50K"
"7910",31," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Own-child"," Asian-Pac-Islander"," Female",40," <=50K"
"7911",29," Private"," Bachelors"," Never-married"," Adm-clerical"," Own-child"," White"," Male",40," <=50K"
"7913",24," Private"," Bachelors"," Never-married"," Sales"," Own-child"," White"," Female",35," <=50K"
"7914",29," Local-gov"," HS-grad"," Separated"," Protective-serv"," Other-relative"," White"," Female",40," <=50K"
"7915",49," Federal-gov"," Masters"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," >50K"
"7916",33," Private"," 7th-8th"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"7917",28," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",48," <=50K"
"7919",37," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"7920",30," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," <=50K"
"7921",49," Private"," 7th-8th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7923",25," Private"," HS-grad"," Separated"," Exec-managerial"," Unmarried"," White"," Female",40," <=50K"
"7925",36," State-gov"," Doctorate"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",45," <=50K"
"7926",21," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," White"," Male",22," <=50K"
"7928",30," Local-gov"," Assoc-voc"," Never-married"," Protective-serv"," Not-in-family"," White"," Male",40," <=50K"
"7929",44," Private"," Some-college"," Never-married"," Adm-clerical"," Own-child"," Black"," Female",40," <=50K"
"7930",40," Private"," Some-college"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," <=50K"
"7931",43," Private"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",44," <=50K"
"7932",45," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," >50K"
"7933",29," Private"," Some-college"," Married-spouse-absent"," Sales"," Own-child"," Asian-Pac-Islander"," Female",26," <=50K"
"7934",40," Private"," Some-college"," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",40," <=50K"
"7935",43," Private"," Some-college"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",48," <=50K"
"7936",20," Private"," Some-college"," Never-married"," Other-service"," Not-in-family"," White"," Female",20," <=50K"
"7938",19," Private"," Some-college"," Never-married"," Other-service"," Own-child"," White"," Female",16," <=50K"
"7939",21," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",40," <=50K"
"7940",23," Private"," Assoc-voc"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"7944",19," Private"," Some-college"," Never-married"," Other-service"," Not-in-family"," White"," Male",35," <=50K"
"7946",50," Private"," HS-grad"," Divorced"," Machine-op-inspct"," Other-relative"," White"," Female",48," <=50K"
"7947",29," Private"," Some-college"," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Male",40," <=50K"
"7948",17," Private"," 10th"," Never-married"," Tech-support"," Own-child"," White"," Male",10," <=50K"
"7949",47," Private"," HS-grad"," Divorced"," Other-service"," Unmarried"," White"," Female",37," <=50K"
"7951",30," Private"," Some-college"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",44," <=50K"
"7952",58," Private"," Some-college"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",30," <=50K"
"7953",48," Private"," Bachelors"," Divorced"," Prof-specialty"," Not-in-family"," Black"," Female",40," <=50K"
"7955",23," Private"," Assoc-voc"," Never-married"," Adm-clerical"," Own-child"," White"," Female",36," <=50K"
"7957",20," Private"," Some-college"," Never-married"," Sales"," Own-child"," Black"," Male",20," <=50K"
"7958",26," Private"," 7th-8th"," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",48," <=50K"
"7959",50," Local-gov"," Bachelors"," Never-married"," Prof-specialty"," Own-child"," White"," Female",40," >50K"
"7961",26," Private"," Some-college"," Never-married"," Other-service"," Other-relative"," White"," Male",40," <=50K"
"7962",47," Private"," Prof-school"," Divorced"," Adm-clerical"," Not-in-family"," White"," Male",40," <=50K"
"7963",31," Private"," 12th"," Never-married"," Sales"," Not-in-family"," White"," Male",50," <=50K"
"7965",23," Private"," 10th"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," <=50K"
"7966",35," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7967",46," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",50," >50K"
"7968",28," Self-emp-not-inc"," 11th"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"7971",50," Self-emp-not-inc"," 10th"," Divorced"," Sales"," Not-in-family"," White"," Female",50," <=50K"
"7973",31," Private"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"7974",31," Self-emp-not-inc"," Bachelors"," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",20," <=50K"
"7975",35," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," >50K"
"7977",34," Private"," Masters"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",55," >50K"
"7979",37," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",45," >50K"
"7980",48," Private"," Masters"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," >50K"
"7981",34," Federal-gov"," Bachelors"," Never-married"," Exec-managerial"," Unmarried"," Asian-Pac-Islander"," Male",40," <=50K"
"7982",24," Private"," Some-college"," Never-married"," Exec-managerial"," Own-child"," White"," Male",40," <=50K"
"7983",55," Private"," HS-grad"," Divorced"," Priv-house-serv"," Not-in-family"," White"," Female",40," <=50K"
"7985",40," Private"," Bachelors"," Married-civ-spouse"," Sales"," Husband"," White"," Male",60," >50K"
"7986",33," Private"," Bachelors"," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",30," <=50K"
"7987",51," Federal-gov"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7988",30," Private"," Some-college"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",40," <=50K"
"7989",41," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"7991",27," Private"," 7th-8th"," Never-married"," Farming-fishing"," Own-child"," White"," Male",50," <=50K"
"7993",40," Private"," Assoc-voc"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7994",36," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"7995",37," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",40," <=50K"
"7998",35," Private"," Bachelors"," Divorced"," Exec-managerial"," Unmarried"," White"," Female",40," <=50K"
"8002",45," Private"," Some-college"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"8004",35," Self-emp-not-inc"," HS-grad"," Never-married"," Sales"," Unmarried"," Black"," Female",38," <=50K"
"8006",23," Private"," Some-college"," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",50," <=50K"
"8007",19," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," White"," Female",15," <=50K"
"8009",20," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",35," <=50K"
"8010",44," Self-emp-inc"," Bachelors"," Married-civ-spouse"," Sales"," Husband"," White"," Male",30," <=50K"
"8011",41," State-gov"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," <=50K"
"8012",19," Private"," Some-college"," Never-married"," Adm-clerical"," Other-relative"," White"," Female",40," <=50K"
"8013",48," Private"," HS-grad"," Divorced"," Other-service"," Not-in-family"," White"," Female",35," <=50K"
"8014",45," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",65," >50K"
"8015",40," Private"," 7th-8th"," Married-civ-spouse"," Other-service"," Husband"," Asian-Pac-Islander"," Male",42," <=50K"
"8016",34," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",55," >50K"
"8017",20," Private"," Some-college"," Never-married"," Sales"," Other-relative"," Other"," Female",40," <=50K"
"8018",33," Private"," Some-college"," Separated"," Adm-clerical"," Unmarried"," White"," Female",40," <=50K"
"8019",30," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Own-child"," White"," Female",20," <=50K"
"8020",23," Private"," Some-college"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",32," <=50K"
"8021",34," Private"," 10th"," Divorced"," Other-service"," Unmarried"," White"," Female",38," <=50K"
"8022",48," State-gov"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," >50K"
"8024",42," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",40," >50K"
"8025",22," Private"," HS-grad"," Never-married"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Male",40," <=50K"
"8026",60," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",42," >50K"
"8028",45," Private"," Bachelors"," Separated"," Exec-managerial"," Not-in-family"," White"," Female",55," <=50K"
"8029",47," Private"," HS-grad"," Divorced"," Other-service"," Own-child"," White"," Female",32," <=50K"
"8031",34," Private"," Bachelors"," Never-married"," Sales"," Not-in-family"," White"," Male",38," <=50K"
"8032",34," Private"," Bachelors"," Divorced"," Prof-specialty"," Unmarried"," White"," Female",40," >50K"
